,title,address
120,Waffle House #347,"5579 HWY 90 THEODORE, AL 36582 US"
121,Waffle House #365,"29100 US HWY 98 DAPHNE, AL 36526 US"
122,Waffle House #407,"3591 ROSS CLARK CIR DOTHAN, AL 36303 US"
123,Waffle House #456,"1707 COUNTY RD 437 GOOD HOPE, AL 35055 US"
124,Waffle House #461,"1201 AL HWY 21 SOUTH OXFORD, AL 36203 US"
125,Waffle House #563,"2615 ZELDA RD MONTGOMERY, AL 36107 US"
126,Waffle House #576,"5180 CARMICHAEL RD MONTGOMERY, AL 36106 US"
127,Waffle House #664,"3023 COLUMBIANA RD VESTAVIA HILLS, AL 35216 US"
128,Waffle House #740,"1507 HWY 72 E ATHENS, AL 35611 US"
129,Waffle House #741,"2230 7TH STREET S CLANTON, AL 35046 US"
130,Waffle House #756,"1128 N CHALKVILLE RD TRUSSVILLE, AL 35173 US"
131,Waffle House #775,"4896 UNIVERSITY DR HUNTSVILLE, AL 35816 US"
132,Waffle House #78,"3421 MCFARLAND BLVD TUSCALOOSA, AL 35405 US"
133,Waffle House #780,"3707 SUMMERVILLE RD PHENIX CITY, AL 36867 US"
134,Waffle House #79,"1141 HWY 280 BY PASS PHENIX CITY, AL 36867 US"
135,Waffle House #801,"2597 COBBS FORD RD PRATTVILLE, AL 36066 US"
136,Waffle House #805,"907 FOX RUN PKY OPELIKA, AL 36801 US"
137,Waffle House #808,"1551 S. EUFALA AVE EUFAULA, AL 36027 US"
138,Waffle House #812,"1203 MARTIN ST. N PELL CITY, AL 35125 US"
139,Waffle House #825,"2140 MOODY PKWY. MOODY, AL 35004 US"
140,Waffle House #835,"985 W. SOUTH BLVD MONTGOMERY, AL 36105 US"
141,Waffle House #849,"382 E. BEACH BLVD. GULF SHORES, AL 36542 US"
142,Waffle House #850,"10931 ALABAMA HY 168 BOAZ, AL 35957 US"
143,Waffle House #86,"802 CLEVELAND AVE ATTALLA, AL 35954 US"
144,Waffle House #864,"545 QUINTARD DRIVE OXFORD, AL 36203 US"
145,Waffle House #867,"500 FIELDSTOWN ROAD GARDENDALE, AL 35071 US"
146,Waffle House #869,"13101 E. FLOWERWOOD LOXLEY, AL 36551 US"
147,Waffle House #882,"3998 METHODIST CIR BESSEMER, AL 35022 US"
148,Waffle House #884,"2660 S. MCKENZIE ST FOLEY, AL 36535 US"
149,Waffle House #908,"3305 POINT MALLARD DECATUR, AL 35603 US"
150,Waffle House #925,"25101 PERDIDO BEACH ORANGE BEACH, AL 36561 US"
151,Waffle House #957,"105 MCMEANS AVE BAY MINETTE, AL 36507 US"
152,Waffle House #992,"1204 INDUSTRIAL PKWY SARALAND, AL 36571 US"
153,Waffle House #998,"1410 GLENN BLVD SW FORT PAYNE, AL 35968 US"
154,Waffle House #1208,"1831 SOUTH COUNTRY MESA, AZ 85210 US"
155,Waffle House #1345,"2627 W DEER VALLEY PHOENIX, AZ 85027 US"
156,Waffle House #1380,"3565 E IRVINGTON RD TUCSON, AZ 85714 US"
157,Waffle House #1489,"3363 E UNIVERSITY DR PHOENIX, AZ 85040 US"
158,Waffle House #1551,"2701 E VALENCIA RD TUCSON, AZ 85706 US"
159,Waffle House #1588,"101 E 29TH AVE APACHE JUNCTION, AZ 85119 US"
160,Waffle House #1604,"4824 E CHANDLER BLVD PHOENIX, AZ 85048 US"
161,Waffle House #1742,"5055 EAST MCKELLIPS MESA, AZ 85215 US"
162,Waffle House #1797,"2189 E UNIVERSITY DR TEMPE, AZ 85281 US"
163,Waffle House #265,"2516 W BELL RD PHOENIX, AZ 85023 US"
164,Waffle House #283,"1380 W GRANT RD TUCSON, AZ 85705 US"
165,Waffle House #315,"1801 W BASELINE RD GUADALUPE, AZ 85283 US"
166,Waffle House #431,"709 W STARR PASS TUCSON, AZ 85713 US"
167,Waffle House #481,"820 NORTH DYSART RD GOODYEAR, AZ 85338 US"
168,Waffle House #792,"8325 W. MCDOWELL RD TOLLESON, AZ 85353 US"
169,Waffle House #1078,"6501 WARDEN ROAD SHERWOOD, AR 72120 US"
170,Waffle House #1094,"20514 HWY 365 N MAUMELLE, AR 72113 US"
171,Waffle House #1210,"8107 GEYER SPRNGS RD LITTLE ROCK, AR 72209 US"
172,Waffle House #1281,"105 W COMMERCE DR BRYANT, AR 72022 US"
173,Waffle House #1291,"1220 REBSAMEN PK RD LITTLE ROCK, AR 72202 US"
174,Waffle House #1312,"2200 WEST CENTER ST BEEBE, AR 72012 US"
175,Waffle House #1320,"3224 BILL FOSTER MEM CABOT, AR 72023 US"
176,Waffle House #1376,"1238 DROGERS ST CLARKSVILLE, AR 72830 US"
177,Waffle House #1410,"3085 E PARKWAY DR RUSSELLVILLE, AR 72802 US"
178,Waffle House #1432,"9009 HWY 71 SOUTH FORT SMITH, AR 72908 US"
179,Waffle House #167,"2017 CENTRAL AVE HOT SPRINGS, AR 71901 US"
180,Waffle House #1788,"1407 NORTH HERVEY ST HOPE, AR 71801 US"
181,Waffle House #1793,"719 EAST PARKER RD JONESBORO, AR 72404 US"
182,Waffle House #1824,"1106 WEST MAIN ST CABOT, AR 72023 US"
183,Waffle House #1909,"2723 US HWY 412, SILOAM SPRINGS, AR 72761 US"
184,Waffle House #1973,"7300 INNERPLAN DR NORTH LITTLE ROCK, AR 72113 US"
185,Waffle House #2069,"100 FANNIE LANE LONOKE, AR 72086 US"
186,Waffle House #2090,"4517 CAMP ROBINSON NORTH LITTLE ROCK, AR 72118 US"
187,Waffle House #2106,"4200 S. UNIVERSITY LITTLE ROCK, AR 72204 US"
188,Waffle House #2137,"2523 WEST KINGS HWY PARAGOULD, AR 72450 US"
189,Waffle House #2221,"1507 FAYETTEVILLE RD VAN BUREN, AR 72956 US"
190,Waffle House #2251,"219 S THOMPSON ST. SPRINGDALE, AR 72764 US"
191,Waffle House #229,"116 MARSHALL RD JACKSONVILLE, AR 72076 US"
192,Waffle House #2323,"960 E CENTERTON BLVD CENTERTON, AR 72719 US"
193,Waffle House #2341,"1721 WEST WALNUT ST ROGERS, AR 72756 US"
194,Waffle House #2394,"937 WEST CENTER ST GREENWOOD, AR 72936 US"
195,Waffle House #2414,"10319 STAGECOACH RD LITTLE ROCK, AR 72210 US"
196,Waffle House #261,"990 HWY 65 N CONWAY, AR 72032 US"
197,Waffle House #330,"123 VALLEY ST ARKADELPHIA, AR 71923 US"
198,Waffle House #437,"1215 HOT SPRINGS RD BENTON, AR 72019 US"
199,Waffle House #439,"2311 WEST MLK BLVD FAYETTEVILLE, AR 72701 US"
200,Waffle House #488,"201 N SHACKLEFORD RD LITTLE ROCK, AR 72211 US"
201,Waffle House #510,"818 EAST OAK ST CONWAY, AR 72032 US"
202,Waffle House #608,"4761 CENTRAL AVE HOT SPRINGS, AR 71913 US"
203,Waffle House #612,"3202 BANKHEAD DRIVE LITTLE ROCK, AR 72206 US"
204,Waffle House #668,"2340 N WASHINGTON ST FORREST CITY, AR 72335 US"
205,Waffle House #685,"1407 NORTH MAIN ST BRINKLEY, AR 72021 US"
206,Waffle House #691,"3305 EAST RACE AVE SEARCY, AR 72143 US"
207,Waffle House #698,"2905 PHILLIPS DR JONESBORO, AR 72401 US"
208,Waffle House #782,"1281 S. 48TH STREET SPRINGDALE, AR 72762 US"
209,Waffle House #810,"1921 MLK BLVD MALVERN, AR 72104 US"
210,Waffle House #868,"1410 N HWY 9B MORRILTON, AR 72110 US"
211,Waffle House #880,"2308 SE WALTON BLVD BENTONVILLE, AR 72712 US"
212,Waffle House #897,"2404 N. ARKANSAS AVE RUSSELLVILLE, AR 72802 US"
213,Waffle House #946,"2505 MCCAIN BLVD NORTH LITTLE ROCK, AR 72116 US"
214,Waffle House #962,"500 E BOWMAN RD LITTLE ROCK, AR 72211 US"
215,Waffle House #1072,"3811 HWY 119 AT I 25 LONGMONT, CO 80504 US"
216,Waffle House #1107,"201 E COUNTY LINE RD LITTLETON, CO 80122 US"
217,Waffle House #1516,"19312 E PLAZA DR PARKER, CO 80138 US"
218,Waffle House #1523,"1039 SPACE CENTER DR COLORADO SPRINGS, CO 80915 US"
219,Waffle House #1566,"12880 MISSISSIPPI AURORA, CO 80012 US"
220,Waffle House #1598,"222 WOLFENSBERGER RD CASTLE ROCK, CO 80109 US"
221,Waffle House #1708,"4180 AUSTIN BLUFFS COLORADO SPRINGS, CO 80918 US"
222,Waffle House #183,"755 WEST FILLMORE COLORADO SPRINGS, CO 80907 US"
223,Waffle House #521,"3850 E. MULBERRY FORT COLLINS, CO 80524 US"
224,Waffle House #606,"8401 PEARL STREET THORNTON, CO 80229 US"
225,Waffle House #1512,"598 WEST MAIN ST MIDDLETOWN, DE 19709 US"
226,Waffle House #1550,"37 CORY LANE SMYRNA, DE 19977 US"
227,Waffle House #1753,"4003 S. DUPONT HWY DOVER, DE 19901 US"
228,Waffle House #1045,"11126 FRONT BEACH RD PANAMA CITY BEACH, FL 32407 US"
229,Waffle House #1046,"7329 N. DAVIS HWY. PENSACOLA, FL 32504 US"
230,Waffle House #1073,"8010 LAVELLE WAY PENSACOLA, FL 32526 US"
231,Waffle House #1092,"17110 BACK BEACH RD PANAMA CITY BEACH, FL 32413 US"
232,Waffle House #1096,"17352 PERDIDO KEY DR PENSACOLA, FL 32507 US"
233,Waffle House #1162,"4575 STATE ROUTE 20 NICEVILLE, FL 32578 US"
234,Waffle House #1192,"1939 W TENNESSEE ST TALLAHASSEE, FL 32304 US"
235,Waffle House #1204,"10327 FRONT BEACH RD PANAMA CITY BEACH, FL 32407 US"
236,Waffle House #1247,"306 N TYNDALL PKWY CALLAWAY, FL 32404 US"
237,Waffle House #1262,"3340 GULF BREEZE GULF BREEZE, FL 32563 US"
238,Waffle House #1272,"7 E NINE MILE RD PENSACOLA, FL 32534 US"
239,Waffle House #1338,"1680 MAIN ST CHIPLEY, FL 32428 US"
240,Waffle House #1346,"154 REGIONS WAY DESTIN, FL 32541 US"
241,Waffle House #1361,"4219 WOODBINE RD PACE, FL 32571 US"
242,Waffle House #1385,"8555 KESHAV TAYLOR MILTON, FL 32583 US"
243,Waffle House #1403,"2502 HWY 77 SOUTH LYNN HAVEN, FL 32444 US"
244,Waffle House #1418,"3470 THOMASVILLE RD TALLAHASSEE, FL 32309 US"
245,Waffle House #1424,"9201 WEST HWY 98 PENSACOLA, FL 32506 US"
246,Waffle House #1446,"3090 WALDEN RD TALLAHASSEE, FL 32317 US"
247,Waffle House #147,"4631 WEST MOBILE PENSACOLA, FL 32506 US"
248,Waffle House #1471,"2662 AVALON BLVD MILTON, FL 32583 US"
249,Waffle House #1491,"7000 THOMAS DR PANAMA CITY BEACH, FL 32408 US"
250,Waffle House #1511,"628 N JOHN SIMS PKWY NICEVILLE, FL 32578 US"
251,Waffle House #1527,"5022 CAPITAL CIR SW TALLAHASSEE, FL 32305 US"
252,Waffle House #1541,"4900 US HWY 90 PACE, FL 32571 US"
253,Waffle House #1561,"2380 E BRICKYARD RD MIDWAY, FL 32343 US"
254,Waffle House #158,"831 GULF BREEZE PKWY GULF BREEZE, FL 32561 US"
255,Waffle House #1590,"460 RACETRACK RD NW FT WALTON BEACH, FL 32547 US"
256,Waffle House #1602,"3399 MICHIGAN AVE PENSACOLA, FL 32526 US"
257,Waffle House #1629,"1907 E NINE MILE RD PENSACOLA, FL 32514 US"
258,Waffle House #1698,"6305 N 9TH AVE PENSACOLA, FL 32504 US"
259,Waffle House #1756,"3500 APALACHEE PKWY TALLAHASSEE, FL 32311 US"
260,Waffle House #1775,"298 JAMES LEE BLVD CRESTVIEW, FL 32536 US"
261,Waffle House #1792,"10457 SORRENTO RD PENSACOLA, FL 32507 US"
262,Waffle House #1845,"1700 SOUTH HWY 29 CANTONMENT, FL 32533 US"
263,Waffle House #1856,"4201 LAFAYETTE ST MARIANNA, FL 32446 US"
264,Waffle House #1921,"2060 WEST HWY 98 MARY ESTHER, FL 32569 US"
265,Waffle House #1929,"2217 THOMAS DRIVE PANAMA CITY, FL 32408 US"
266,Waffle House #1953,"22913 PANAMA CITY PANAMA CITY BEACH, FL 32413 US"
267,Waffle House #2003,"3300 WEST PARK PLACE PENSACOLA, FL 32505 US"
268,Waffle House #2040,"11140 PANAMA CITY PANAMA CITY BEACH, FL 32407 US"
269,Waffle House #2257,"1130 N.FERDON BLVD CRESTVIEW, FL 32536 US"
270,Waffle House #2337,"16290 US HIGHWAY 331 FREEPORT, FL 32439 US"
271,Waffle House #2355,"17837 ST HWY 285 S DEFUNIAK SPRINGS, FL 32435 US"
272,Waffle House #2368,"50 BAUER ROAD PENSACOLA, FL 32506 US"
273,Waffle House #2382,"53 BRENT LANE PENSACOLA, FL 32503 US"
274,Waffle House #252,"6 S NEW WARRINGTN RD PENSACOLA, FL 32507 US"
275,Waffle House #282,"1105 EGLIN PKWY SHALIMAR, FL 32579 US"
276,Waffle House #377,"6558 CAROLINE STREET MILTON, FL 32570 US"
277,Waffle House #393,"6913 PENSACOLA BLVD PENSACOLA, FL 32505 US"
278,Waffle House #586,"401 EAST GREGORY ST. PENSACOLA, FL 32501 US"
279,Waffle House #611,"3804 S FERDON BLVD CRESTVIEW, FL 32536 US"
280,Waffle House #662,"1067 EAST HIGHWAY 98 DESTIN, FL 32541 US"
281,Waffle House #674,"209 EAST HWY 98 DESTIN, FL 32541 US"
282,Waffle House #68,"631 15TH STREET PANAMA CITY, FL 32401 US"
283,Waffle House #703,"586 HUGH ADAMS RD. DEFUNIAK SPRINGS, FL 32435 US"
284,Waffle House #788,"130 SCENIC GULF DR MIRAMAR BEACH, FL 32550 US"
285,Waffle House #860,"8582 NAVARRE PKWY NAVARRE, FL 32566 US"
286,Waffle House #892,"3210 N MONROE ST TALLAHASSEE, FL 32303 US"
287,Waffle House #91,"263 MIRACLE STRIP FT WALTON BEACH, FL 32548 US"
288,Waffle House #919,"2215 HWY 71 MARIANNA, FL 32448 US"
289,Waffle House #942,"15 SON IN LAW RD BONIFAY, FL 32425 US"
290,Waffle House #977,"1670 CAPITAL CIR NW TALLAHASSEE, FL 32303 US"
291,Waffle House #988,"1901 NORTH COVE BLVD PANAMA CITY, FL 32405 US"
292,Waffle House #1050,"5067 J TURNER BUTLER JACKSONVILLE, FL 32216 US"
293,Waffle House #1098,"810 KINGS HWY PORT CHARLOTTE, FL 33980 US"
294,Waffle House #1124,"4689 SW 148TH AVE SOUTHWEST RANCHES, FL 33330 US"
295,Waffle House #1214,"6635 HWY 129 LIVE OAK, FL 32060 US"
296,Waffle House #1228,"7070 GULF BLVD ST PETERSBURG BCH, FL 33706 US"
297,Waffle House #1243,"1736 MCCOY RD ORLANDO, FL 32809 US"
298,Waffle House #1252,"1201 TOWNSGATE CT. PLANT CITY, FL 33563 US"
299,Waffle House #1266,"3665 N ATLANTIC AVE COCOA BEACH, FL 32931 US"
300,Waffle House #1280,"11185 GULF BLVD TREASURE ISLAND, FL 33706 US"
301,Waffle House #1289,"334 BEACH BLVD JACKSONVILLE BEACH, FL 32250 US"
302,Waffle House #1290,"1902 W LUMSDEN RD BRANDON, FL 33511 US"
303,Waffle House #1310,"100270 OVERSEAS HWY KEY LARGO, FL 33037 US"
304,Waffle House #1321,"1512 N JOHN YOUNG KISSIMMEE, FL 34741 US"
305,Waffle House #1358,"145SE BANDIT ST MADISON, FL 32340 US"
306,Waffle House #1391,"414 DELTONA BLVD DELTONA, FL 32725 US"
307,Waffle House #1464,"5872 OKEECHOBEE RD FORT PIERCE, FL 34947 US"
308,Waffle House #1518,"6797 COMMONWEALTH JACKSONVILLE, FL 32254 US"
309,Waffle House #1620,"2525 54TH AVE NORTH ST PETERSBURG, FL 33714 US"
310,Waffle House #1627,"11244 E MLK BLVD SEFFNER, FL 33584 US"
311,Waffle House #171,"7611 W NEWBERRY RD GAINESVILLE, FL 32606 US"
312,Waffle House #173,"1412 W. BRANDON BLVD BRANDON, FL 33511 US"
313,Waffle House #1945,"236 EAST MAIN STREET APOPKA, FL 32703 US"
314,Waffle House #195,"3244 US HWY 98 N LAKELAND, FL 33805 US"
315,Waffle House #1962,"10401 ATLANTIC BLVD JACKSONVILLE, FL 32225 US"
316,Waffle House #1982,"18744 US HIGHWAY 441 MOUNT DORA, FL 32757 US"
317,Waffle House #2006,"7894 103RD STREET JACKSONVILLE, FL 32210 US"
318,Waffle House #2014,"206 STATE ROAD 436 CASSELBERRY, FL 32707 US"
319,Waffle House #2025,"5130 NW 13TH STREET GAINESVILLE, FL 32609 US"
320,Waffle House #2032,"9520 US HIGHWAY 441 LEESBURG, FL 34788 US"
321,Waffle House #2044,"7652 MERRILL ROAD JACKSONVILLE, FL 32277 US"
322,Waffle House #2053,"720 CAGAN VIEW RD CLERMONT, FL 34714 US"
323,Waffle House #2058,"6608 US HWY 19 NEW PORT RICHEY, FL 34652 US"
324,Waffle House #2059,"2480 EAST HWY 50 CLERMONT, FL 34711 US"
325,Waffle House #2063,"704 BLANDING BLVD. ORANGE PARK, FL 32065 US"
326,Waffle House #2083,"11844 LEM TURNER RD. JACKSONVILLE, FL 32218 US"
327,Waffle House #2088,"22 NW 34TH AVE. OCALA, FL 34475 US"
328,Waffle House #2104,"7180 NORMANDY BLVD. JACKSONVILLE, FL 32205 US"
329,Waffle House #2115,"1815 S. SEMORAN BLVD ORLANDO, FL 32822 US"
330,Waffle House #2132,"11403 ULMERTON ROAD LARGO, FL 33778 US"
331,Waffle House #2133,"13975 BEACH BLVD. JACKSONVILLE, FL 32224 US"
332,Waffle House #2150,"8514 BAYMEADOWS RD. JACKSONVILLE, FL 32256 US"
333,Waffle House #2158,"4459 W HILLSBOROUGH TAMPA, FL 33614 US"
334,Waffle House #2159,"7670 STARKEY ROAD SEMINOLE, FL 33777 US"
335,Waffle House #2174,"3810 CLEVELAND AVE FORT MYERS, FL 33901 US"
336,Waffle House #2177,"9406 SOUTH ORANGE ORLANDO, FL 32837 US"
337,Waffle House #2191,"2400 CORTEZ ROAD, W BRADENTON, FL 34207 US"
338,Waffle House #2192,"4642 DEL PRADO BLVD. CAPE CORAL, FL 33904 US"
