,id,state_name,state_ab,county,city,zip_code,census_lat,census_lon,mean,median,stdev,sum_w
8571,17022669,Illinois,IL,Adams County,Scott Air Force Base,62225,38.5371347,-89.8793263,87028,74213,61828,1669.941867
8572,17022679,Illinois,IL,Adams County,O Fallon,62269,38.5833945,-89.9189293,74591,62073,56274,1375.46567
8573,170211269,Illinois,IL,Adams County,East Saint Louis,62203,38.5952392,-90.0635897,37258,31384,33910,262.0270786
8574,1702269,Illinois,IL,Adams County,Chicago,60610,41.9074122,-87.6409015,79682,23660,87549,1043.008266
8575,17022699,Illinois,IL,Adams County,Springfield,62702,39.8269931,-89.6095987,59148,48752,42451,712.1626138
8576,17022709,Illinois,IL,Adams County,Springfield,62704,39.8009536,-89.660845,42402,30048,41377,746.3024597
8577,17022719,Illinois,IL,Adams County,Springfield,62703,39.7808413,-89.6392447,34728,24458,33920,656.5343764
8578,17022739,Illinois,IL,Adams County,Sherman,62684,39.9206652,-89.61367,101116,92658,61808,1202.008804
8579,170211309,Illinois,IL,Adams County,East Saint Louis,62205,38.648286,-90.1190737,43404,26002,44501,158.062547
8580,17022769,Illinois,IL,Adams County,Freeport,61032,42.2751085,-89.6260573,39992,33935,32711,1092.605147
8581,17022779,Illinois,IL,Adams County,Pekin,61554,40.5581495,-89.6620841,46827,40238,34195,574.1115768
8582,17022789,Illinois,IL,Adams County,Morton,61550,40.606387,-89.4571043,72597,64210,47666,583.5357465
8583,1702279,Illinois,IL,Adams County,Chicago,60610,41.8921063,-87.6288737,120266,99761,85848,782.1863967
8584,17022799,Illinois,IL,Adams County,Washington,61571,40.7218724,-89.4260763,85396,73914,57157,858.2546039
8585,17022809,Illinois,IL,Adams County,Danville,61834,40.1511668,-87.5660832,28781,23032,24096,1033.974597
8586,17021729,Illinois,IL,Adams County,Effingham,62401,39.1524413,-88.5601606,50761,44107,41801,1106.894671
8587,17025849,Illinois,IL,Adams County,Elgin,60120,42.0422907,-88.2441272,86825,72891,68634,172.9547847
8588,17022859,Illinois,IL,Adams County,Prophetstown,61277,41.6331852,-90.0001039,58112,48338,42478,703.142233
8589,17021879,Illinois,IL,Adams County,Elgin,60120,42.0559755,-88.2735845,71686,55210,54612,1163.684748
8590,17021509,Illinois,IL,Adams County,Elmhurst,60126,41.9372166,-87.9300221,66011,56797,47615,957.1538399
8591,17021989,Illinois,IL,Adams County,Galesburg,61401,40.9896512,-90.3964455,58807,46456,53709,1358.18678
8592,17022909,Illinois,IL,Adams County,Plainfield,60586,41.5570863,-88.2085971,120104,110726,63154,433.3588396
8593,17022919,Illinois,IL,Adams County,Lockport,60441,41.5770053,-88.0446817,73679,65777,50687,954.8787526
8594,170212799,Illinois,IL,Adams County,Germantown Hills,61548,40.773095,-89.470805,109841,300000,63837,369.7423555
8595,17022939,Illinois,IL,Adams County,New Lenox,60451,41.4834792,-87.9365611,108417,95048,67846,375.5373356
8596,17021539,Illinois,IL,Adams County,Glendale Heights,60139,41.9103131,-88.0971363,72429,67657,42833,886.7790211
8597,17022969,Illinois,IL,Adams County,Joliet,60431,41.5293372,-88.1505661,69032,57327,52547,960.0796196
8598,17022979,Illinois,IL,Adams County,Channahon,60410,41.4459944,-88.2366574,111043,300000,53851,363.5350049
8599,17022989,Illinois,IL,Adams County,Manhattan,60442,41.4043262,-87.9613435,79334,64788,54734,796.5910144
8600,17022999,Illinois,IL,Adams County,Mokena,60448,41.5330603,-87.865675,107142,100669,57045,384.7652715
8601,17025629,Illinois,IL,Adams County,Glenview,60025,42.094993,-87.8008408,92421,69189,69238,446.4441148
8602,17023019,Illinois,IL,Adams County,Romeoville,60446,41.6124689,-88.0932124,61332,51966,46095,796.934421
8603,170211469,Illinois,IL,Adams County,Harrisburg,62946,37.7209272,-88.5567571,40738,33617,31278,399.1494006
8604,17023049,Illinois,IL,Adams County,Rockford,61114,42.3077736,-89.014064,87324,71397,65464,1368.929208
8605,17021289,Illinois,IL,Adams County,Harvey,60426,41.6263396,-87.6451103,33592,22476,31019,1084.806822
8606,17023079,Illinois,IL,Adams County,Rockford,61102,42.2590905,-89.1016249,31106,27985,22757,415.9872486
8607,17023089,Illinois,IL,Adams County,Rockford,61103,42.3084534,-89.0919311,47423,40569,35639,866.7346564
8608,17023099,Illinois,IL,Adams County,Machesney Park,61115,42.3826655,-89.1071181,77176,67741,52945,1180.804908
8609,170212489,Illinois,IL,Adams County,Herrin,62948,37.8345971,-89.0279661,55858,46486,37621,267.626414
8610,17023129,Illinois,IL,Adams County,Quincy,62301,39.9561156,-91.3866911,58881,48205,46125,265.3229704
8611,17023139,Illinois,IL,Adams County,Quincy,62301,39.943582,-91.3985437,29796,23370,22432,383.9499483
8612,17023149,Illinois,IL,Adams County,Quincy,62301,39.916643,-91.412004,33879,31900,21067,418.0295845
8613,17023159,Illinois,IL,Adams County,Quincy,62301,39.9153086,-91.3577026,73304,59274,43098,432.5791731
8614,17023169,Illinois,IL,Adams County,Liberty,62347,39.8818992,-91.0687749,70031,300000,52930,121.9967412
8615,17023179,Illinois,IL,Adams County,Quincy,62301,39.9991475,-91.4212596,114635,300000,64193,73.65941744
8616,17023189,Illinois,IL,Adams County,Tamms,62988,37.1322588,-89.3422085,48155,41048,37489,298.9220322
8617,17021139,Illinois,IL,Adams County,Hillside,60162,41.8614103,-87.9030703,76302,65400,54312,635.4274999
8618,17023199,Illinois,IL,Adams County,Greenville,62246,38.8862489,-89.3900338,64346,28301,69728,73.26085326
8619,17023209,Illinois,IL,Adams County,Belvidere,61008,42.2675556,-88.8523167,72172,65493,50640,364.3384838
8620,17023229,Illinois,IL,Adams County,Poplar Grove,61065,42.4228772,-88.8092898,97550,85289,73711,184.1248564
8621,17023239,Illinois,IL,Adams County,Mt Sterling,62353,39.9764122,-90.7567396,54060,41293,42433,227.4577563
8622,17023249,Illinois,IL,Adams County,Manlius,61338,41.4918208,-89.6937318,60400,48103,47689,193.1905581
8623,17023259,Illinois,IL,Adams County,Ladd,61329,41.3704558,-89.1953291,58472,54106,42716,199.156708
8624,17023269,Illinois,IL,Adams County,Princeton,61356,41.3550908,-89.4517449,57345,42516,49436,385.5136852
8625,17023279,Illinois,IL,Adams County,Hardin,62047,39.304454,-90.7108656,62759,43176,59130,197.2546124
8626,17025879,Illinois,IL,Adams County,Hoffman Estates,60169,42.0543487,-88.0540088,61978,55827,46105,443.2412366
8627,1702329,Illinois,IL,Adams County,Chicago,60634,41.942169,-87.7714953,65324,54001,51333,719.636055
8628,17023299,Illinois,IL,Adams County,Milledgeville,61051,42.0166445,-89.7728471,64439,300000,44342,228.5931003
8629,17023309,Illinois,IL,Adams County,Beardstown,62618,39.9892029,-90.3735631,67360,300000,45398,330.3860982
8630,17023319,Illinois,IL,Adams County,Champaign,61820,40.1108444,-88.2362187,15444,8760,18646,600.1701123
8631,17023329,Illinois,IL,Adams County,Champaign,61820,40.1052046,-88.2508799,91115,300000,49162,126.5920556
8632,17023339,Illinois,IL,Adams County,Champaign,61821,40.1297772,-88.2682959,45692,29407,44464,315.4809824
8633,17023349,Illinois,IL,Adams County,Champaign,61821,40.1054765,-88.2671806,83463,300000,46890,252.9510375
8634,17023359,Illinois,IL,Adams County,Champaign,61822,40.0693539,-88.2899562,130016,120068,74716,395.5329645
8635,17023369,Illinois,IL,Adams County,Champaign,61820,40.0906765,-88.260586,77272,69387,57583,240.5171549
8636,17023379,Illinois,IL,Adams County,Urbana,61802,40.1259725,-88.1956279,26763,23067,16799,342.8274053
8637,17023389,Illinois,IL,Adams County,Urbana,61802,40.1125165,-88.1622587,54267,50023,29114,287.1214821
8638,17023399,Illinois,IL,Adams County,Urbana,61801,40.0910553,-88.2000743,79075,300000,55767,215.8214204
8639,17023409,Illinois,IL,Adams County,Urbana,61801,40.0793238,-88.221384,30874,22980,31608,321.3167301
8640,17023419,Illinois,IL,Adams County,Rantoul,61866,40.3077916,-88.1670269,47936,41259,30302,261.7870916
8641,17023429,Illinois,IL,Adams County,Fisher,61843,40.3113361,-88.3449086,83131,68041,64032,155.2559426
8642,17023439,Illinois,IL,Adams County,Champaign,61821,40.1505783,-88.3056169,74786,53043,68271,287.6186
8643,17023449,Illinois,IL,Adams County,Broadlands,61816,39.9597632,-88.061672,72568,65101,45592,157.1910337
8644,17023459,Illinois,IL,Adams County,Champaign,61820,40.1172907,-88.2484973,50424,35803,43507,341.6931941
8645,17023469,Illinois,IL,Adams County,Edinburg,62531,39.7186016,-89.2825938,60855,57067,38539,332.9500844
8646,17023479,Illinois,IL,Adams County,Taylorville,62568,39.5461718,-89.3081815,54757,42989,39132,233.5260742
8647,17023489,Illinois,IL,Adams County,Pana,62557,39.4439023,-89.1440635,38290,35526,29152,242.2911664
